label,sentence
1,@michaelahills YEP 
1,need to do homework.. can't wait for LVATT.. im gonna mention LVATT in evry tweet until i actually get LVATT.  so yeh. LVATT
1,"@AnneSudworth Gosh, that's hectic... Tea? I'm surprised you can fit that into such busy schedule, Anne! "
1,@hana77  Daily:  8am - 12 midnight 
1,watching the staff in the posh Soho face cream shop eyeing the battered inebriated man outside with extreme suspicion &amp; disapproval 
1,@samanatrix @Boxtech @Vaancor @MuertenTheSNW Morning all! 
1,@evAllTimeLow i met them at soundwave  they did signings
1,"@billpetti: I agree they are symbiotic, and I like to think I'm more of a creator, but sometimes I'm happy just being a critic. "
1,@kikilupo that's the bright side! 
1,@helencarr it didnt make any sense though 
1,"@theroguegirl Hey there, how are you today? *waves madly back* Oh, and big smiles right back atcha. Hope you're having a great day!! "
1,@BaldiesUnite me too mmm  suns shining here nice day 
1,@NickkkJonasss haha what's on your schedual?? 
1,@docbaty I get how hard it is to sleep with ideas bouncing around in your head 
1,fire away love 
1,"just ordered a heart handbag and a cath kidston purse from asos, cost Â£10 + p&amp;p. i'm excited. also hopefully working a bit in july "
1,"If you haven't heard yet, I'm getting a dog  I don't think I've ever been this excited for anything, and I've had a pretty exciting life."
1,@AdiWriter hahaha  yep  wish me luck ;)
1,Good Morning Everyone 
1,s'pposed to be getting ready for work but reading wedding magazines 
1,@chiefchimpanzee proud of you matey 
1,mmmmmmm milky milk yummm i might put a film of while studying hmmm maybe peter pan 
1,@kreng33 magtwitter y nmn pla i kc concepcion ne...  ifollow ke pa!&quot;... Hehe
1,Feeling virtuous today 
1,"@faithEEE HAHA, i finished. wait. i mean i finished READING. if i finish my work its a miracle planned by God. i hope that happens  AMEN!"
1,"@daniellehough there you go, i have started to follow you "
1,@maddoxhardcore shit. nothing worse than bad trance. Just play something louder over the top (I suggest Pendulum)  
1,"@altyris hahaha, really? Just seems to be a normal day in my world  whats confused you so very much?!"
1,Niver Thatha  dia feliz!
1,"hitting the sheets, for real this time! then getting up and getting ready for smackdown/ecw in roanoke with my muffin and the crew! "
1,"@Molecat84 Hey thanks, that means a lot. Have a great day, I'll keep everyone posted. "
1,Back home  now having something to eat &lt;3
1,is going to head home now... Mommy Dearest is waiting with dinner!  Bringing a cute lil birdie home...
1,@nattycallegaro she is great! sound very happy! loving her OPP job 
1,"@nathaliemc no worries Nathalie  There is a @pixie group with a Canon comp for best photos, you can join here http://pix.ie/go/spwc "
1,@rachael_95 thats right rachaelll 
1,@Van_Dee you are crazy you know that right? 
1,Another gorgeous day with lots of sunshine!   
1,@NickkkJonasss home sweet home  you cant beat it!
1,&quot;You have hissed all my mystery lectures. You have tasted a whole worm. Please leave Oxford on the next town drain.&quot; #Spoonerisms   
1,@sheeradjafar @zurairi another awwww from me too! it's nice to find guys who aren't afraid to admit that 
1,"BTW, I am still figuring out all this FaceBook, SuperPoke, Twitter stuff, so bare with me if I don't respond immediately "
1,"Had a nice long walk with the dog this morning   I'm absolutely shattered now after that one, And now for some lunceh, i think   Laterz"
1,@Kudoskookies  Have a great day!
1,"Hi,everyone.Online now "
1,@varunshridhar wahan australia main kya kar raha hain thu??? Koi peet dega thumhe aur radha phir akeli ho jayegi 
1,I  (L))))) the Hills/the City and I loveee cassie! woehoeee 
1,having trouble sending my pic 
1,"@JonasBrothers + @ddlovato - were beyond amazing, first ever concert and it was seeing them NEVER forgotton guys you were amazing! "
1,@vitalstatistiks I think the new star-trek movie at inox dome comes pretty close to the experience without blowing out your pocket 
1,@NigelHoney coffee here  - probably a day or two before I need to open though (probably good given it was roasted yesterday!). no wine ;_;
1,@gfkosher thought that link might help you 
1,"@velmadaria -- aww. you're welcome, boo. we all gotta keep eachother lifted up, y'know. have a beautiful day! hope to talk to you later. "
1,@maisabelhiggins not really.. half of the intermediate paper  it has something like &quot;i'm not against my religion or something&quot; haha )
1,"here comes the sun!  finally, after two weeks of darkness ;)"
1,Time for a 2.5 hour Media exam! Oh Joy! Wish me luck 
1,Catalyst 9.6 released - Ð½Ð°Ð´ÐµÐ¶Ð´Ð° Ð²Ñ?Ðµ ÐµÑÐµ Ð¶Ð¸Ð²Ð° 
1,Its work time  Dam friends and their Jamie T buzz grrr...
1,@tomspr they need to outsource PR tom... you will lose me as a client if you win it though! 
1,Up early with my babyy 
1,"@jimparedes it is both your own protection and protection for others. everyone with access must avail of it. good job, jim "
1,96.4 on my test  now time for more friggin' oxfam.
1,@ArielaRoss you sent a link 2 San Francisco Guide  was that your intention? (first photo published somewhere other than Flickr...)
1,going to get some much needed sleep! 
1,@gadnur Taking the day off?  
1,&quot;I'm gonna call him the frog... reep!&quot; Hahahaha gotta love Gibbs  #ncis
1,good morning  actually woke up today! trying to think of a good column idea about film so i can sit at home and write about movies I watch
1,LIFE'S GOOD  God blessings! bye
1,having a wonderful day already 
1,Father's Day is a-coming. 
1,Finally got back to twitter. Downloaded the app 
1,"When Chuck Norris throws exceptions, its across the room  and other Chuck Norris Programming jokes - http://is.gd/13ow5"
1,"Off to eat, mummy has cooked yummy yum food &lt;3 I hope you're all having a fab day twittsweets! "
1,@benchau join the club 
1,@yeevs just come join me. the one in Gardens. just come. i need a good dose of sweetness in me.  hehehe
1,Back to work and ready for the week 
1,@bobanz no? haha  went to my friends' party....
1,@spencerpratt seen you lastnight on tv talking to larry king . Intresting how you werent sure of what he said 
1,"ZoÃ© is 377 gr, Frank is 414 gr and Bob is 489 gr. OK, let's face it, Bob is fat "
1,is watching &quot;The Reader&quot; while downloading pics from last sat night &quot;Tribute to The Light&quot; gig 
1,@hermsfarm na das &gt;&gt; http://bit.ly/f8Afa  
1,"@devotetom COD4, COD5, GTA4, Halo 3 &amp; Halo Wars, Gears 1 &amp; 2, Guitar Hero 3 and WT, Forza 2. "
1,"@ziwXziw Hi! OK,yoroshikune  can U speak JAPANESE??haha^  do U know ONE-PEACE?"
1,@AnthonyBorton of course 
1,"@DickFifer Yeah...Working on that today. Fortunately, all my bills are paid for the month as of this morning. "
1,@JodyneL awesome you'll love it!!  also you'll be saying 'oh whats occurin' all the time now..I warned you.
1,finally calmed down enough to sleep haha 
1,"tomorrow my barkada, Jaburps will be One Year and Six Months together. aww. i really love those people! "
1,@PaperCakes  if you are looking for fewer cards just email him to get a price   GL!
1,"@mathusic aww run away to find either andre, candice or i! p.s I love you on twitter now "
1,@clahhh23 thanks. 
1,i think my cold/flu/whatever is going! i swear listening to music is therapeutic!  (it can't have been the horseradish &amp; garlic tablets..)
1,wishing Jon had given me back my JavaScript book 
1,@BackPorchSoap Congrats on your award -event:http://www.ssliving.com - exciting.. nice new profile picture by the way 
1,SecuritySpy; great app! 
1,@batratiya001 Looking for a new SMS sending solution? http://promotion.itagg.com Get Â£6 FREE SMS with every iTAGG! 
1,"@_Janet_ Still haven't decided, thanks for the suggestions. "
1,@Kenny_Wallace I'll be there in August!  Infield. 5 days. Yeahhhh!!!!!!!
1,Listening to rock music with clean bed sheet and air con. Perfect for inspiration 
1,@vabeachquilter it was a little comical - but I'm missing a couple of ringlets!!  
1,@LinzOttawa LMAO....yeah do that would ya?  
1,"@92maria well, Danny deffo sings well drunk! "
1,@marantpal for real? Who's the mommy? 
1,"@PaulHarriott So what your saying is I'm not cool? Lol, but I have beer "
1,@HollyYM English lit degree with primary teaching  x
1,our website is currently down .. please wait 
1,"@fairfielddesign I'll come, but let me know if @AlisonHeld is coming, so I can reconsider if necessary. "
1,@Cynnergies - @ Liturgy @stmss Green avatar as we pray for Iran #iranelection &lt;-- just found out myself 
1,Good Morning!!  Still having certain people following me that I keep blocking- hoping changing the pic will help?  Off to check FB.. 
1,I surprised myself last night by starting and finishing a painting http://tinyurl.com/l9s7hw I'm very happy with it 
1,"@TalindaB Hey Talinda, are you going to go to Turkey with LP in this Summer? We'd be so glad if you come here "
1,"exploring early childhood assignment  due in 13 days, im gonna start it now "
1,"Today is my big sister her birthday ... Happy Birthday ... but before the party rises, I still eat my pizza "
1,"Big girls don't cry,they just say whats bothering them and move on "
1,"@Blu_Hefner Hey frat, love ur twitter name!!! hehe stay up "
1,@valagnew hmmm what? 
1,@Skinbro I started downloading it last night. 
1,@MickyFin just think of all the hassle and time you could save if you were in to NON smartphones 
1,@chiniehdiaz Hahaha!  you should come and see us here! it's a riot every day!
1,Hey Ford -- Happy 106th birthday.  You're looking quite good for your age. 
1,@LinuxWeather he is actually spearheading all international AWIPS2 projects   Just starting with KSA...
1,Sleep shopping LOL   http://twitpic.com/7jchs
1,@LeParadis Salut Roslyn! Comment vas-tu? 
1,@KimShepherd_ Congratulations on the driving thing. Now you can have many adventures 
1,"@NickkkJonasss Congratulations on your album release. I can't wait until Friday, when it comes out in Australia. Good work "
1,"@whatswhat_sian not at all , you have done enough already thank you "
1,@latilleon @FavorsTwins  how r u all this morning 
1,@DeFries #wowwp  = Women on the Web WordPress - morgen WP workshop 
1,"Krill - the most unique discovery of the decade? See yourself, and bet me if I am wrong  http://238753.com/Bigbuck"
1,"@TheSUPERGIRL i didnt read all the dms yet btw so ill get back on them later on, gonna drive home now "
1,is twittering.... 
1,Had some really good dreams last night.  didn't want to wake up this morning 
1,"@CaroMcFly Yeah, but it's bcuz we had 2 weeks holdays recently.  I'm in 8th grade &quot;Realschule&quot; (dunno what it's in english xD) wbu?"
1,Reading 
1,&quot;stop running...'cause without you I got nothing...&quot; just sound trippin'...LOL 
1,Bye! See you tomorrow! 
1,"Ghost Recon 2, yes we have to take some time of to  relex and play some XBOX 360"
1,@SyntaxC4 I was joking. Someone followed me and had the bio &quot;RSS Media Expert&quot; typical social media blegh 
1,"Matha - &quot;Oh I love this bit, it's the feeling you get... you know?&quot; Donna - &quot;Yep. Like you've swallowed a hamster.&quot; I love Doctor Who "
1,Day 2 of VBS - help me Jesus!  
1,"has so many things to tweet about! Today = @jonasbrothers new album! ahhhh, getting it at lunch  2 days til 16th birthday! YEAH baby "
1,HI.. Add me ass ur twitter friend 
1,@jamiechongmn ahah no their muscles so scary and big! hahah i saw donghae and eunhyuk.     
1,"hmmm.. i am currently checking my shop for orders,,, then updating my facebook.. "
1,i haen't been to the patriot center since halloween w/ the cab &amp; panic!  i love graduations.
1,Just got home from a jaalcampaign info nite... very informative! 
1,"@Mrs_Penguin Too funny! Moms at home need to find a way to relax the mind, and for us, household chores provide our moment of Zen "
1,"i am boring now, ia m listening music and.... sitting in my arms "
1,yay my twitterfon is working again 
1,"I can't decide what is more distracting, the look on the face of the child OR the ice-cream itself  - http://twitpic.com/7j7kw"
1,welcome to hell 
1,is now connecting her facebook and twitter 
1,"its so hot here in my room.  hehehe... i really wanna transfer there in the master's bedroom. but, i gotta prepare for tomorrow."
1,band practice in 2 days!  
1,goin out till tonight 
1,Our highest potential is limited only by ourselves 
1,@firefaunx zero out of three...  one might say that no tgworldnews is good news...  
1,@ilikemachinegun Haha  Aww that sucks. The tickets for her concert in London were waaaay too expensive to be worth it really.
1,you better never bother with MY old bamboo 
1,"@_justmitch_ LOL, YAY U! ITS THE ENGLISH LANGUAGE, LOTS A TINGS DON'T MAKE SENSE "
1,@Liiv7 I agree with @angryaussie but if worse comes to worse perhaps you could permanently borrow all her good clothes! 
1,i still can't forget the memories from a dinner in Napoli's and a night out @ Dolce with colleagues! very fun... i feel alive again. 
1,@alushaness you just said language in two different language lol. in malay yes 
1,It's mostly fluid http://bit.ly/nBlUL  (new blog post) 
1,@canoejohn wow was totally in a trance there 
1,@donreedy um... oh my... not sure I want to hear any more about that... 
1,Here's a demo of the Community2.0 #WordPress theme http://mohdrafie.co.uk/labs/ 
1,@TwitClass OKay thanks! 
1,I suggest Body Shop's seaweed ionic clay mask! Skin feels great afterwards 
1,"@Turner Thanks! So far, it's not happening. Hope you have a good day - and stay healthy! "
1,@crucialencountr get a room!  
1,http://twitpic.com/7jcjw - My co-workers are the best!  #famouslyhot
1,off to watch the rest of this 
1,@WoWDawgs As long as the diarhea is gone...  Sure.
1,@timidheathen it's tres stylin'. Now play Phoenix Nights for YouTube 
1,shoppping spreee $ in chicago $ finally; i havent been on a spreee in a whileee 
1,@TwilightNewsMan I love diva-dogs!!  do your dogs get along?
1,@phatelara hi debbs! 
1,"@michael_elliott are you a camp counselor? i was once in Pennsylvania, was exciting! "
1,@Philko87 how weird that you dreamt about russell brand after we were talking about him last night 
1,good morning tweeters! looks like another nice day outside 
1,"Watched more of Chuck today, into the 2nd season now  RobinHood is next. Praying 4 more settled nite 2nite. Purchased new pack of teabags!"
1,@HollyYM thankyou!  only august 24th will tell  xx
1,Ashley Tisdale's new album is wonderful.  it's making me very happy 
1,muhaha sucess found my laptop  havent been on it since easter day =[ no im gonna try and upload sims3 onto vista hopefully vista will work
1,@phantasysurf happy 1st. anniversary sweeetness. i love you. 
1,"Thanks guys for all the birthday wishes, and thank you @sajello for making it the best ever! Low-key and with my 3 favorite people. "
1,@suupatrout I'll grab them as soon as I has more monies 
1,"has these brill ideas for a type of business to open here in Glasgow, just had another this mornin. I think this one is a keeper for sure "
1,"@RODDYBOTTUM Dude, loved the show at Download this weekend. You guys blew my mind and my voice away! "
1,@jtietema that's awesome news to hear 
1,Needs to get the rest of my camping gear together.. ready to leave for SS bright and early Thursday morning 
1,it hasnt hit home iv left opefully soon it wil coz it time to move on  x
1,@ajm1030 fingers crossed!  
1,@sczepanski it's friday already? I missed a lot! 
1,"@redemption2005  Take your rescue inhaler with you today!  From, your US mama.    You look well-packed!"
1,@Heather_Paige im diggin urs too 
1,Brussels has 2.000.000 square meters of empty office space... (dutch article:  http://bit.ly/2unxf) I could use about 30 of that 
1,"came home from the party, now it's time to hit the sack. Good night angels! hope you guys had an awesome day today! tc and God bless! "
1,made tic tac toe in 3 hours. (proud of self) 
1,@_Lilia_ maybe it was the real MJ? what job is it? 
1,"laying in my bed, just got jumped on by my dog (He's a very rambunctious golden retriever), being lazy today, "
1,"going to Helle!  She needs some help with her oral math exam, and she asked me(the genius that I am) to help her "
1,hey everyone! it's been 18 days since i last logged in. i have a new twitter! so find me quick &amp; follow! 
1,@Illendil  some great tweets. add the #applertc hashtag then we can all see them...  Please 
1,@PLACEBOWORLD Bring on the good news ! I need it today 
1,@AKAVirtualPA @successshazza is our latest #tweetupmellers convert 
1,Advance Happy Father's Day to all Father out there. 
1,"i can only think of the good times, and the beautiful people i had met "
1,"@SexyKellyC However, change the way you look at things and the things you look at change "
1,@KCHunt Thanks KC! we need some west coasters on the site. 
1,@Murakami_Haruki I hope it won't be 2084 before an english or dutch translation of 1Q84 will be published. 
1,anyone want to give me a job?? please 
1,"@AidenPappas It Shouldn't be as bad as COD4!, jks.  Ive been alright!, schools been crap, too much work and studying!, how you holding up?"
1,@oldfoundnew lol everything! i just don't know how to do it! i'm gonna meet with my coordinator on thursday tho 
1,believe that dreams come true everyday.. 'cuz they do.. 
1,"@bevluvsrats If you Twitter more you'll get more followers, then you can sell em things for Wucky  ... Maybe :|"
1,Nice Remix #Nekta Guess Who #forgotten musicmonday 
1,is trying not to get bored with this twitter lark .. but think i am failing miserably 
1,@Espen_Antonsen Thanks for the link! I'm interested btw: why do you use Gitorious and not Github? 
1,"So excited for cambridge ball tomorrow with Jess, bring on the Lords, the free booze &amp; the task of &quot;skanking&quot; to in full ball gowns "
1,@kimparsell It was family! So fun but definitely no rest or relaxation 
1,"Wow! Only 2 followers away from1,400. Common, we can do it  Thanks to everyone who's just come aboard to follow. Sweet!"
1,@J_Kellz oh look @ us lol. yea we look pretty much like we were HOT up in Bogarts.  Good Times
1,Good Morning!!!... Father's Day's coming up! Go get a Gift to the Dude who made sure you Weren't a Bastard! 
1,"@emfro Btw, Tom Jones doesn't have twitter, but Gareth Gates does, oh the joys "
1,"going to take her bath, and study for test 2 , MIS "
1,"has so many things to tweet about! Today = @Jonasbrothers new album! Ahhhh, I'm getting it at lunch  2 days til my sweet 16! YEAH baby "
1,@JakeGint My last Pappy and cigar combo?  No way!  Future wifey is cool with both.  
1,My friend is like Pamela    // we're waiting until Thursday//
1,tee of at 9:40. Its going to be an eventful day. I have to shoot another good score to get in the top 64. 
1,@Glinner And read the TOC 
1,"@pumpkinpeasyx aww, thanks mateage! You have a great day too "
1,@75jus Looking good! 
1,"@xEviLovesMcFLYx Oh, our last holidays were in April  I'm 9th grade gymnasium."
1,@nance_pance Oh - where? Good luck 
1,"Been off the radar lately, need to get back online. Moving house takes up so much time! More space to create now "
1,iPhone 0S 3.0 tomorrow  Picture Messaging here i come FINALLY
1,Hopefully getting paid for babysitting cause rite aid just restocked all the matte stuff. 
1,@Mr_Juleau I'm just that gooooood 
1,had a sort of fun first day of school  ...sort of :&gt;
1,"@fossiloflife: Googled it. Geely CE is it's name. Â£30,000 for the luxury of Â£271,000 worth Phantom. The Chinese kick-ass.  (@msnarain)"
1,@simontay78 dm me your address  post to you.
1,@libbymiller thanks for the bean counter (tm) stickers 
1,"@susanpeich: LOL! They learn quickly, don't they? "
1,"@thepatient que bom, amanda "
1,Goodnight  Someone's on a little bit of temper. XD See yah!
1,@peterfacinelli i bet your kids can sleep well with a daddy like this :p your background image is awesome  like the dark hair
1,I wanna go out on fridayyy. 
1,I'm back online i still don't get this twitter stuff much  aww well
1,Morning... I'm in a good mood today. I'm not going to let anybody piss me off 
1,@jaromirrivera that's awesome. We are glad you are having a good time 
1,"@assyLa27 Wow, Can't get used to people speaking about evening when I'm about to lunch. How are you doing? Voted you from time to time "
1,http://twitpic.com/7jcnr - My way too organized lunch  i'm lovin' it!!
1,not as beautiful as youuuuuuuuuuuuu 
1,saw a &quot;big - cute&quot; bus earlier today and it made me smile 
1,@DonnaNBC4 Yeah...not so much of that going on in the Gem City this morning. Pretty much just rain. 
1,PEOPLE HELP! IM SICK! you can help me by following!  )
1,@saraheleena Jyeaah! I'm so glad they were together at last!  Saangaat shuuweeet! &lt;3 Kan! kan!
1,@Moomettesgram love your new revamped site  Looks awesome!!
1,wearing @sparkstherescue t-shirt by the way. the AAR one is in laundry. 
1,"@Emmanuelle_LES yep, thanks for checking though "
1,Leaving office. Nice 
1,"@FoluB you are my brutally honest cold hearted hero, Mr Grinch "
1,"Get people engaged, make sure that you Talk to people. This is how you connect and grow. Imagine all that you can learn from others "
1,"omg the test went great! i'm happy, i'm very happy!! and i finally have wireless yayay!! "
1,@ddlovato is there a deluxe edition cause then i wait and preorder the deluxe edition  ?????
1,Yay for sunshine 
1,good morning world 
1,i has changed my twitter's background image! I can has my pillow now! 
